	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	0.0	17.0	24.0	53.0	21.0	29.0	17.0	36.0	19.0	17.0	36.0	46.0	204.0
a_aust	20.0	0.0	20.0	53.0	23.0	23.0	21.0	27.0	25.0	18.0	29.0	38.0	167.0
a_best	28.0	20.0	0.0	58.0	22.0	20.0	22.0	49.0	14.0	14.0	15.0	34.0	213.0
a_cave	32.0	27.0	26.0	0.0	33.0	25.0	20.0	41.0	40.0	26.0	45.0	40.0	177.0
a_cavi	31.0	21.0	20.0	62.0	0.0	21.0	29.0	38.0	24.0	19.0	26.0	31.0	188.0
a_ench	35.0	25.0	30.0	59.0	24.0	0.0	25.0	69.0	37.0	19.0	30.0	41.0	189.0
a_fluv	12.0	18.0	12.0	42.0	20.0	22.0	0.0	30.0	27.0	20.0	29.0	35.0	164.0
a_pisc	27.0	13.0	17.0	58.0	24.0	21.0	25.0	0.0	33.0	13.0	17.0	44.0	209.0
a_popo	27.0	20.0	14.0	59.0	23.0	22.0	20.0	39.0	0.0	13.0	20.0	33.0	191.0
a_rivi	34.0	18.0	21.0	58.0	24.0	21.0	19.0	42.0	26.0	0.0	27.0	33.0	191.0
a_salm	35.0	17.0	24.0	62.0	25.0	27.0	26.0	57.0	40.0	19.0	0.0	46.0	205.0
a_schu	55.0	39.0	54.0	80.0	50.0	48.0	42.0	78.0	67.0	42.0	67.0	0.0	172.0
e_coli	68.0	48.0	59.0	74.0	60.0	58.0	49.0	75.0	47.0	48.0	71.0	55.0	0.0
